date,code,market,volume_shares
2026-09-16,1609,上市,1490732
2026-09-17,1609,上市,3791122
2026-09-18,1609,上市,3295843
2026-09-21,1609,上市,3295843
2026-09-14,1717,上市,8551098
2026-09-15,1717,上市,4705926
2026-09-16,1717,上市,7073755
2026-09-17,1717,上市,6176640
2026-09-18,1717,上市,6856264
2026-09-21,1717,上市,6856264
2026-09-14,1718,上市,10779539
2026-09-15,1718,上市,6493005
2026-09-16,1718,上市,6566522
2026-09-17,1718,上市,20789291
2026-09-18,1718,上市,13481923
2026-09-21,1718,上市,13481923
2026-09-14,1722,上市,3543050
2026-09-15,1722,上市,3554623
2026-09-16,1722,上市,2620903
2026-09-17,1722,上市,2303922
2026-09-18,1722,上市,2823597
2026-09-21,1722,上市,2823597
2026-09-14,1795,上市,542369
2026-09-15,1795,上市,725132
2026-09-16,1795,上市,875931
2026-09-17,1795,上市,772740
2026-09-18,1795,上市,672438
2026-09-21,1795,上市,672438
2026-09-14,1802,上市,11772428
2026-09-15,1802,上市,10001475
2026-09-16,1802,上市,12004130
2026-09-17,1802,上市,23405436
2026-09-18,1802,上市,33184205
2026-09-21,1802,上市,33184205
2026-09-14,1904,上市,1227068
2026-09-15,1904,上市,1308734
2026-09-16,1904,上市,2904506
2026-09-17,1904,上市,1307142
2026-09-18,1904,上市,1038643
2026-09-21,1904,上市,1038643
2026-09-14,1905,上市,1139329
2026-09-15,1905,上市,1357003
2026-09-16,1905,上市,3228321
2026-09-17,1905,上市,1824107
2026-09-18,1905,上市,2071205
2026-09-21,1905,上市,2071205
2026-09-14,1907,上市,697691
2026-09-15,1907,上市,561160
2026-09-16,1907,上市,547293
2026-09-17,1907,上市,1248099
2026-09-18,1907,上市,820772
2026-09-21,1907,上市,820772
2026-09-14,1909,上市,1736881
2026-09-15,1909,上市,1943300
2026-09-16,1909,上市,5104456
2026-09-17,1909,上市,1752256
2026-09-18,1909,上市,1400753
2026-09-21,1909,上市,1400753
2026-09-14,2002,上市,24252702
2026-09-15,2002,上市,30609530
2026-09-16,2002,上市,26366296
2026-09-17,2002,上市,17570221
2026-09-18,2002,上市,25507630
2026-09-21,2002,上市,25507630
2026-09-14,2006,上市,785685
2026-09-15,2006,上市,1149181
2026-09-16,2006,上市,1894701
2026-09-17,2006,上市,4340270
2026-09-18,2006,上市,4908459
2026-09-21,2006,上市,4908459
2026-09-14,2027,上市,9155087
2026-09-15,2027,上市,12037554
2026-09-16,2027,上市,14323752
2026-09-17,2027,上市,10660209
2026-09-18,2027,上市,12398697
2026-09-21,2027,上市,12398697
2026-09-14,2049,上市,9175490
2026-09-15,2049,上市,5290726
2026-09-16,2049,上市,2282437
2026-09-17,2049,上市,2515565
2026-09-18,2049,上市,2691002
2026-09-21,2049,上市,2691002
2026-09-14,2059,上市,240070
2026-09-15,2059,上市,211570
2026-09-16,2059,上市,454477
2026-09-17,2059,上市,453913
2026-09-18,2059,上市,486160
2026-09-21,2059,上市,486160
2026-09-14,2105,上市,3420958
2026-09-15,2105,上市,4049274
2026-09-16,2105,上市,8791079
2026-09-17,2105,上市,3040799
2026-09-18,2105,上市,6716662
2026-09-21,2105,上市,6716662
2026-09-14,2201,上市,4054465
2026-09-15,2201,上市,2929514
2026-09-16,2201,上市,2280778
2026-09-17,2201,上市,3280401
2026-09-18,2201,上市,14231607
2026-09-21,2201,上市,14231607
2026-09-14,2231,上市,84667
2026-09-15,2231,上市,84419
2026-09-16,2231,上市,76899
2026-09-17,2231,上市,87381
2026-09-18,2231,上市,158943
2026-09-21,2231,上市,158943
2026-09-14,2301,上市,12338615
2026-09-15,2301,上市,17907973
2026-09-16,2301,上市,13634786
2026-09-17,2301,上市,10539679
2026-09-18,2301,上市,24262502
2026-09-21,2301,上市,24262502
2026-09-14,2303,上市,132513207
2026-09-15,2303,上市,102009653
2026-09-16,2303,上市,117165966
2026-09-17,2303,上市,256821287
2026-09-18,2303,上市,306815637
2026-09-21,2303,上市,306815637
2026-09-14,2308,上市,9470308
2026-09-15,2308,上市,14802962
2026-09-16,2308,上市,10673726
2026-09-17,2308,上市,10796328
2026-09-18,2308,上市,13051318
2026-09-21,2308,上市,13051318
2026-09-14,2312,上市,8796329
2026-09-15,2312,上市,8006946
2026-09-16,2312,上市,10732941
2026-09-17,2312,上市,8741145
2026-09-18,2312,上市,7988144
2026-09-21,2312,上市,7988144
2026-09-14,2313,上市,13242484
2026-09-15,2313,上市,11772158
2026-09-16,2313,上市,18970240
2026-09-17,2313,上市,30339891
2026-09-18,2313,上市,29688041
2026-09-21,2313,上市,29688041
2026-09-14,2317,上市,25260973
2026-09-15,2317,上市,15812094
2026-09-16,2317,上市,19737377
2026-09-17,2317,上市,26522419
2026-09-18,2317,上市,44803117
2026-09-21,2317,上市,44803117
2026-09-14,2323,上市,3634402
2026-09-15,2323,上市,3498973
2026-09-16,2323,上市,2707759
2026-09-17,2323,上市,5535867
2026-09-18,2323,上市,4985357
2026-09-21,2323,上市,4985357
2026-09-14,2324,上市,39727054
2026-09-15,2324,上市,46454725
2026-09-16,2324,上市,22476027
2026-09-17,2324,上市,25735494
2026-09-18,2324,上市,52193788
2026-09-21,2324,上市,52193788
2026-09-14,2327,上市,22504178
2026-09-15,2327,上市,22575963
2026-09-16,2327,上市,27854767
2026-09-17,2327,上市,22992927
